Fish_ID,Population,Treatment,DPI,Sex,Lane,Fib_L_count,Fib_R_count,Fib_Avg_count
231,RSL,PBS,10,F,L001,0,0,0
232,GOS,Worm+Alum,10,F,L001,2,2,2
233,GOS,Worm Protein,10,F,L001,0,0,0
234,SAY,PBS,10,M,L001,0,0,0
235,SAY,PBS,10,F,L001,0,0,0
236,SAY,Worm+Alum,10,M,L001,2,2,2
237,SAY,Alum,10,F,L001,2,2,2
238,SAY,Worm+Alum,10,F,L001,3,2,2.5
239,GOS,Alum,10,M,L001,0,0,0
240,GOS,PBS,10,M,L001,0,0,0
241,GOS,Worm+Alum,10,M,L001,2,2,2
242,GOS,Worm Protein,10,F,L001,0,0,0
243,SAY,Worm+Alum,10,M,L001,1,0,0.5
244,SAY,PBS,10,F,L001,0,0,0
245,SAY,Alum,10,M,L001,4,2,3
246,SAY,Worm Protein,10,F,L001,0,0,0
247,SAY,Worm Protein,10,M,L001,0,1,0.5
318,RSL,Alum,10,F,L001,3,2,2.5
340,SAY,Worm Protein,42,F,L001,0,0,0
341,SAY,PBS,42,F,L001,0,0,0
342,SAY,PBS,42,M,L001,0,0,0
343,SAY,Worm+Alum,42,F,L001,4,3,3.5
344,SAY,Worm Protein,42,M,L001,0,0,0
345,SAY,Alum,42,M,L001,4,2,3
346,SAY,PBS,42,M,L001,0,0,0
347,RSL,PBS,42,F,L001,0,0,0
348,GOS,PBS,42,F,L001,0,0,0
349,GOS,Worm+Alum,42,F,L001,4,4,4
350,GOS,Alum,42,M,L001,4,4,4
351,RSL,Worm Protein,42,M,L001,0,0,0
352,RSL,Alum,42,F,L001,2,2,2
353,GOS,Alum,42,F,L001,4,4,4
354,RSL,Worm Protein,42,M,L001,0,0,0
355,RSL,Worm+Alum,42,M,L001,1,0,0.5
356,RSL,PBS,42,M,L001,0,0,0
357,GOS,Worm+Alum,42,M,L001,2,1,1.5
358,GOS,Worm Protein,42,M,L001,0,0,0
359,RSL,PBS,42,F,L001,0,0,0
360,RSL,Alum,42,F,L001,2,2,2
361,RSL,Worm+Alum,42,M,L001,3,2,2.5
362,RSL,PBS,42,M,L001,0,0,0
363,RSL,Worm Protein,42,F,L001,0,0,0
364,RSL,Worm+Alum,42,M,L001,2,0,1
365,RSL,Worm Protein,42,F,L001,1,0,0.5
366,RSL,Worm+Alum,42,M,L001,2,2,2
367,SAY,Worm+Alum,42,F,L001,3,2,2.5
368,SAY,Worm Protein,42,M,L001,0,0,0
369,SAY,PBS,42,M,L001,0,0,0
370,SAY,Worm Protein,42,M,L001,0,0,0
371,SAY,Alum,42,M,L001,4,4,4
372,SAY,Alum,42,F,L001,3,1,2
373,SAY,Worm Protein,42,F,L002,0,0,0
374,SAY,Worm Protein,42,F,L002,0,0,0
375,SAY,Alum,42,F,L002,4,3,3.5
376,SAY,Worm+Alum,42,M,L002,4,4,4
377,SAY,Alum,42,F,L002,4,4,4
378,SAY,PBS,42,F,L002,0,0,0
379,SAY,PBS,42,M,L002,0,0,0
380,SAY,Alum,42,M,L002,4,4,4
381,SAY,PBS,42,F,L002,0,0,0
382,SAY,Worm Protein,42,F,L002,0,0,0
383,SAY,Worm+Alum,42,F,L002,3,3,3
384,SAY,Worm Protein,42,F,L002,0,0,0
385,GOS,Worm+Alum,42,M,L001,3,2,2.5
386,SAY,Alum,42,F,L002,4,2,3
387,GOS,Worm+Alum,42,F,L001,3,2,2.5
388,GOS,PBS,42,M,L001,0,0,0
389,GOS,Worm Protein,42,M,L001,0,0,0
390,GOS,Alum,42,F,L001,4,4,4
391,GOS,Alum,42,F,L001,2,2,2
392,RSL,PBS,42,F,L001,0,0,0
393,RSL,Alum,42,M,L001,2,2,2
394,GOS,PBS,42,F,L001,0,0,0
395,RSL,Worm+Alum,42,F,L002,2,1,1.5
396,RSL,Worm Protein,42,F,L002,1,0,0.5
397,RSL,Worm+Alum,42,M,L002,3,2,2.5
424,SAY,Worm Protein,42,F,L002,0,0,0
425,SAY,PBS,42,F,L002,0,0,0
426,SAY,Alum,42,M,L002,4,2,3
427,SAY,Worm Protein,42,F,L002,0,0,0
428,GOS,Alum,42,M,L001,4,3,3.5
429,GOS,PBS,42,M,L001,0,0,0
430,GOS,Worm Protein,42,F,L002,0,0,0
431,RSL,Alum,42,F,L002,3,1,2
432,GOS,Worm+Alum,42,M,L002,4,4,4
433,RSL,Alum,42,M,L002,2,2,2
434,RSL,PBS,42,M,L002,0,0,0
435,SAY,Worm+Alum,42,M,L002,4,3,3.5
436,SAY,Worm Protein,42,M,L002,0,0,0
437,SAY,Worm+Alum,42,M,L002,3,0,1.5
438,RSL,Worm+Alum,42,F,L002,2,2,2
439,RSL,Worm Protein,42,M,L002,3,0,1.5
440,GOS,Worm Protein,42,M,L002,0,0,0
441,GOS,Alum,42,M,L002,0,0,0
442,GOS,PBS,42,M,L002,1,1,1
443,GOS,Worm+Alum,42,M,L002,4,3,3.5
444,GOS,Worm Protein,42,F,L002,0,0,0
445,GOS,Alum,42,M,L002,4,3,3.5
446,GOS,PBS,42,M,L002,0,0,0
447,GOS,Worm Protein,42,F,L002,1,0,0.5
448,GOS,Alum,42,M,L002,2,0,1
449,GOS,Worm+Alum,42,F,L002,3,2,2.5
451,RSL,Alum,42,F,L002,4,3,3.5
452,RSL,PBS,42,F,L002,0,0,0
453,RSL,Worm+Alum,42,F,L002,3,2,2.5
454,RSL,Alum,42,F,L002,4,3,3.5
455,SAY,Worm+Alum,42,M,L002,4,3,3.5
456,RSL,PBS,42,M,L002,0,0,0
457,GOS,PBS,42,F,L002,0,0,0
458,GOS,Alum,42,M,L002,0,0,0
459,SAY,Worm+Alum,42,F,L002,3,3,3
460,RSL,Worm+Alum,42,F,L002,2,1,1.5
461,SAY,Worm+Alum,42,F,L002,4,2,3
462,SAY,Alum,42,F,L002,3,2,2.5
463,SAY,PBS,42,M,L002,0,0,0
464,SAY,PBS,42,F,L002,0,0,0
465,SAY,Worm+Alum,42,F,L002,4,2,3
466,RSL,Alum,42,F,L002,3,2,2.5
467,RSL,Worm Protein,42,M,L002,0,0,0
468,RSL,Worm Protein,42,M,L002,1,0,0.5
469,RSL,Worm Protein,42,F,L002,1,0,0.5
470,RSL,PBS,42,F,L002,0,0,0
471,RSL,Worm Protein,42,M,L002,0,0,0
472,RSL,PBS,42,M,L002,1,0,0.5
473,GOS,Worm+Alum,42,F,L002,3,0,1.5
474,SAY,Alum,42,M,L002,3,3,3
475,GOS,Alum,42,M,L002,3,2,2.5
476,GOS,Worm Protein,42,F,L002,0,0,0
477,GOS,Worm+Alum,42,F,L002,3,2,2.5
478,GOS,Worm+Alum,42,F,L002,3,2,2.5
479,GOS,PBS,42,M,L002,0,0,0
480,GOS,PBS,42,M,L002,0,0,0
481,GOS,Worm Protein,42,F,L002,0,0,0
482,GOS,Worm Protein,42,M,L002,0,0,0
483,GOS,PBS,42,M,L002,0,0,0
484,GOS,PBS,42,F,L002,0,0,0
485,GOS,Worm Protein,42,F,L002,1,1,1
486,RSL,Alum,42,M,L002,4,2,3
487,RSL,Alum,42,F,L002,2,0,1
488,RSL,Worm Protein,42,M,L002,0,0,0
490,RSL,Worm+Alum,42,F,L002,3,2,2.5
612,SAY,Worm Protein,90,F,L002,0,0,0
613,SAY,Worm Protein,90,F,L002,0,0,0
614,SAY,PBS,90,M,L002,0,0,0
615,SAY,Alum,90,F,L002,4,2,3
616,SAY,PBS,90,F,L002,0,0,0
617,SAY,Worm Protein,90,M,L002,0,0,0
618,SAY,Worm+Alum,90,M,L002,3,3,3
619,SAY,Worm+Alum,90,F,L002,4,2,3
620,GOS,Alum,90,F,L002,4,4,4
621,GOS,Alum,90,F,L002,2,0,1
622,GOS,Worm+Alum,90,M,L002,3,1,2
623,GOS,Worm+Alum,90,M,L002,2,0,1
624,GOS,Alum,90,F,L002,4,2,3
625,GOS,PBS,90,F,L002,0,0,0
626,GOS,Worm Protein,90,M,L002,0,0,0
627,GOS,Alum,90,M,L002,3,1,2
628,GOS,Worm Protein,90,F,L002,0,0,0
629,GOS,Alum,90,F,L002,4,3,3.5
630,GOS,Alum,90,F,L002,0,0,0
631,GOS,Alum,90,F,L002,4,3,3.5
632,GOS,Alum,90,F,L002,3,1,2
633,GOS,PBS,90,F,L002,0,0,0
634,GOS,PBS,90,M,L002,0,0,0
635,GOS,Worm+Alum,90,F,L002,4,1,2.5
636,GOS,Worm+Alum,90,F,L002,2,1,1.5
637,SAY,Alum,90,F,L002,4,0,2
638,SAY,Alum,90,M,L002,4,2,3
639,SAY,Worm+Alum,90,F,L002,4,3,3.5
640,SAY,Worm Protein,90,F,L002,0,0,0
641,RSL,Worm Protein,90,M,L002,0,0,0
642,RSL,Alum,90,F,L002,2,0,1
643,RSL,Alum,90,F,L002,1,0,0.5
644,RSL,Worm+Alum,90,F,L002,2,0,1
645,RSL,Worm Protein,90,M,L002,0,0,0
646,RSL,PBS,90,F,L002,0,0,0
647,RSL,Worm Protein,90,M,L002,0,0,0
648,RSL,Worm Protein,90,M,L002,0,0,0
649,RSL,Worm+Alum,90,F,L002,2,2,2
650,RSL,Worm+Alum,90,F,L002,2,2,2
651,RSL,Worm+Alum,90,F,L002,1,0,0.5
652,RSL,Worm Protein,90,F,L002,1,0,0.5
653,RSL,Worm+Alum,90,F,L002,3,2,2.5
654,RSL,Worm+Alum,90,F,L002,0,0,0
655,RSL,Worm Protein,90,M,L002,0,0,0
656,RSL,Worm Protein,90,F,L002,1,1,1
657,RSL,Alum,90,M,L002,2,2,2
658,RSL,Worm Protein,90,M,L002,0,0,0
659,RSL,PBS,90,F,L002,0,0,0
660,RSL,PBS,90,F,L002,0,0,0
