ENSGACG00000016217,RNF4
ENSGACG00000016697,fgf24
ENSGACG00000016706,npm1b
ENSGACG00000016709,tlx2
ENSGACG00000016712,ADAD1
ENSGACG00000016715,cetn4
ENSGACG00000016720,bbs12
ENSGACG00000016721,fgf2
ENSGACG00000016725,nudt6
ENSGACG00000016731,SPATA5
ENSGACG00000016734,ANKRD50
ENSGACG00000016736,FAT4
ENSGACG00000016745,LEPROTL1
ENSGACG00000016749,srp72
ENSGACG00000016750,snapc1a
ENSGACG00000016751,arl9
ENSGACG00000016755,hopx
ENSGACG00000016757,SEC24B
ENSGACG00000016763,TSTD2
ENSGACG00000016772,NCBP1
ENSGACG00000016791,MFSD7
ENSGACG00000016794,PCGF3
ENSGACG00000016796,CPLX1 (1 of 2)
ENSGACG00000016798,smu1a
ENSGACG00000016803,ikbkap
ENSGACG00000016808,ARHGEF37
ENSGACG00000016811,pde6a
ENSGACG00000016814,slc26a2
ENSGACG00000016819,HTR4
ENSGACG00000016821,lman2
ENSGACG00000016824,fat2
ENSGACG00000016828,mtnr1al
ENSGACG00000016829,slc36a1
ENSGACG00000016847,sparc
ENSGACG00000016848,g3bp1
ENSGACG00000016854,glra1
ENSGACG00000016856,slc25a48
ENSGACG00000016876,NFKB1
ENSGACG00000016877,DGKQ
ENSGACG00000016886,mgat4b
ENSGACG00000016892,canx
ENSGACG00000016896,MAML1
ENSGACG00000016900,ltc4s
ENSGACG00000016903,rom1b
ENSGACG00000016915,ccdc88b
ENSGACG00000016922,macrod1
ENSGACG00000016923,flrt1b
ENSGACG00000016924,fermt3b
ENSGACG00000016927,trpt1
ENSGACG00000016930,zbtb3
ENSGACG00000016934,nxf1
ENSGACG00000016958,ATG2A
ENSGACG00000016967,trmt112
ENSGACG00000016974,KCNK4
ENSGACG00000016978,zgc:162144
ENSGACG00000016980,stx5a
ENSGACG00000016999,VEGFB
ENSGACG00000017001,dnajc4
ENSGACG00000017004,nudt22
ENSGACG00000017006,HNRNPUL2
ENSGACG00000017013,hs6st2
ENSGACG00000017015,mbnl3
ENSGACG00000017018,rap2c
ENSGACG00000017022,zgc:92907
ENSGACG00000017027,SESN3
ENSGACG00000017029,FOXO4
ENSGACG00000017032,cfl1
ENSGACG00000017040,atl3
ENSGACG00000017049,si:ch211-145o7.3
ENSGACG00000017051,yif1a
ENSGACG00000017059,fosl1a
ENSGACG00000017062,ccdc85b
ENSGACG00000017064,fibpa
ENSGACG00000017074,efemp2a
ENSGACG00000017076,npas4a
ENSGACG00000017077,mrpl11
ENSGACG00000017083,slc25a43
ENSGACG00000017103,lnx2b
ENSGACG00000017106,chic1
ENSGACG00000017113,cdx4
ENSGACG00000017117,kdrl
ENSGACG00000017122,TEX11
ENSGACG00000017128,dlg3
ENSGACG00000017135,GDPD2
ENSGACG00000017138,pdzd11
ENSGACG00000017146,stard10
ENSGACG00000017153,zgc:63637
ENSGACG00000017170,ARR3 (1 of 2)
ENSGACG00000017174,inppl1b
ENSGACG00000017178,pr2y4l
ENSGACG00000017181,sox3
ENSGACG00000017183,atp11c (1 of 2)
ENSGACG00000017189,atp11c (2 of 2)
ENSGACG00000017190,mcf2a
ENSGACG00000017195,f9a
ENSGACG00000017204,fgf13a (1 of 2)
ENSGACG00000017211,zic6
ENSGACG00000017212,zic3
ENSGACG00000017216,GPR101
ENSGACG00000017237,rbmx
ENSGACG00000017253,arhgef6
ENSGACG00000017257,cd40lg
ENSGACG00000017263,gpr133
ENSGACG00000017265,map7d3
ENSGACG00000017268,fhl1a
ENSGACG00000017286,slc9a6a
ENSGACG00000017288,taf7
ENSGACG00000017306,drp2
ENSGACG00000017312,cenpi
ENSGACG00000017316,tmem35
ENSGACG00000017318,arl13a
ENSGACG00000017320,xkrx
ENSGACG00000017324,nox1
ENSGACG00000017326,cstf2
ENSGACG00000017330,BCORL1
ENSGACG00000017332,mid1ip1l
ENSGACG00000017334,tspan7
ENSGACG00000017346,srpx2
ENSGACG00000017349,sytl4
ENSGACG00000017351,TRMT12
ENSGACG00000017353,zdhhc9
ENSGACG00000017357,SASH3
ENSGACG00000017362,xpnpep2
ENSGACG00000017367,ocrl
ENSGACG00000017379,clic2
ENSGACG00000017410,c1galt1c1
ENSGACG00000017411,cul4b
ENSGACG00000017415,lamp2
ENSGACG00000017418,atp1b4
ENSGACG00000017424,TMEM255A
ENSGACG00000017428,zbtb33
ENSGACG00000017430,nkap
ENSGACG00000017434,ndufa1
ENSGACG00000017435,upf3b
ENSGACG00000017440,rpl39
ENSGACG00000022795,SNORA69
ENSGACG00000017441,6-Sep
ENSGACG00000017457,nkrf
ENSGACG00000017461,ube2a
ENSGACG00000017463,ef1
ENSGACG00000017466,tnmd
ENSGACG00000017467,PCDH19
ENSGACG00000017470,glra4a
ENSGACG00000017478,gla
ENSGACG00000017482,rpl36a
ENSGACG00000017483,btk
ENSGACG00000017485,timm8a
ENSGACG00000017486,zgc:101583
ENSGACG00000017489,MARS2
ENSGACG00000017493,med12
ENSGACG00000017497,abcc5
ENSGACG00000017504,ENOX2 (1 of 2)
ENSGACG00000017510,ENOX2 (2 of 2)
ENSGACG00000017515,SLC4A11 (2 of 2)
ENSGACG00000022671,5S_rRNA
ENSGACG00000017518,GFRA4
ENSGACG00000017521,smyd5
ENSGACG00000017524,sfxn5b
ENSGACG00000017526,RAB11FIP5 (2 of 2)
ENSGACG00000017530,BEND4
ENSGACG00000017532,atp8a1
ENSGACG00000017551,GRXCR1
ENSGACG00000017554,slc30a9
ENSGACG00000017557,gsr
ENSGACG00000017563,ZNF518B
ENSGACG00000017564,CLNK
ENSGACG00000017567,hs3st1
ENSGACG00000017569,SCYL1
ENSGACG00000017580,INTS5
ENSGACG00000017583,GANAB
ENSGACG00000017599,ubxn1
ENSGACG00000017605,ehd1b
ENSGACG00000017621,ttc9c
ENSGACG00000017632,dpf2l
ENSGACG00000017637,si:ch73-335m24.5
ENSGACG00000017642,zdhhc24
ENSGACG00000017643,pola2
ENSGACG00000017666,slc16a2
ENSGACG00000017677,MORC4
ENSGACG00000017681,pmt
ENSGACG00000017686,mid2
ENSGACG00000017689,tsc22d3
ENSGACG00000017692,PCDH11Y
ENSGACG00000017694,KLHL4
ENSGACG00000017697,ahnak
ENSGACG00000017702,eef1g
ENSGACG00000017706,polr2gl
ENSGACG00000017720,chrnb3b
ENSGACG00000017723,chrna6 (1 of 2)
ENSGACG00000017728,RNF38 (1 of 2)
ENSGACG00000017733,ZCCHC7 (2 of 2)
ENSGACG00000017735,STAP1
ENSGACG00000017740,ANKRD13D
ENSGACG00000017741,KDM2A (2 of 2)
ENSGACG00000017743,stx3a
ENSGACG00000017755,ran
ENSGACG00000017764,ndufs8a
ENSGACG00000017769,TBC1D10C
ENSGACG00000017773,rad9a
ENSGACG00000017788,p2rx3a
ENSGACG00000017801,ssrp1b
ENSGACG00000017810,slc43a1a
ENSGACG00000017819,med19a
ENSGACG00000017823,PMF1
ENSGACG00000017825,tmx2a
ENSGACG00000017830,ZDHHC5 (2 of 2)
ENSGACG00000017832,CLP1
ENSGACG00000017836,rtn4rl2b
ENSGACG00000017837,slc43a3b
ENSGACG00000017846,CTNND1 (1 of 2)
ENSGACG00000017851,cryba1l1
ENSGACG00000017856,crybb1l1
ENSGACG00000017863,cabp2b
ENSGACG00000017868,mif
ENSGACG00000017869,zgc:101130
ENSGACG00000017871,PPP2R2C (2 of 2)
ENSGACG00000017874,wfs1b
ENSGACG00000017877,JAKMIP1
ENSGACG00000017881,kcnip1a
ENSGACG00000017882,TLX3
ENSGACG00000017883,HRH2 (1 of 2)
ENSGACG00000017885,DOCK2
ENSGACG00000017891,TRPC7
ENSGACG00000017896,DIAPH1
ENSGACG00000017913,pcdh1g9
ENSGACG00000017914,pcdh1g2
ENSGACG00000017915,PCDH10 (1 of 2)
ENSGACG00000017920,pcdhb (1 of 4)
ENSGACG00000022902,Vault
ENSGACG00000022828,Vault
ENSGACG00000022802,Vault
ENSGACG00000017921,fgf18a
ENSGACG00000017925,fbxw11b
ENSGACG00000017928,etf1
ENSGACG00000017934,SPOCK1
ENSGACG00000017939,bicc2
ENSGACG00000017940,zgc:158257
ENSGACG00000017942,APBB2 (2 of 2)
ENSGACG00000017944,CHRNA9 (2 of 2)
ENSGACG00000017946,ube2ka
ENSGACG00000017954,KLB
ENSGACG00000017958,tlr1
ENSGACG00000017960,ints10
ENSGACG00000017963,grhpra
ENSGACG00000017966,SSH3
ENSGACG00000017971,mrpl18
ENSGACG00000017972,tcirg1
ENSGACG00000017976,prp19
ENSGACG00000017980,si:dkey-9i23.15 (2 of 2)
ENSGACG00000017981,rnf20
ENSGACG00000017982,aldob
ENSGACG00000017988,si:ch1073-291c23.2 (1 of 2)
ENSGACG00000017990,TMCO6
ENSGACG00000017995,si:ch1073-291c23.2 (2 of 2)
ENSGACG00000017998,ARSI (2 of 2)
ENSGACG00000018004,cdx1a
ENSGACG00000018005,pdgfrb
ENSGACG00000018007,csf1ra
ENSGACG00000018011,HMGXB3
ENSGACG00000018015,slc35a4
ENSGACG00000018016,cd74a
ENSGACG00000018023,NDST1
ENSGACG00000018027,rbm22
ENSGACG00000018029,myoz3a
ENSGACG00000018033,arl3l2
ENSGACG00000018035,rgs14a
ENSGACG00000018036,slc34a1a
ENSGACG00000018040,adra2da
ENSGACG00000018042,SIMC1
ENSGACG00000018046,cnot6
ENSGACG00000018053,KIAA1191 (1 of 2)
ENSGACG00000018062,gfpt2
ENSGACG00000018076,mapk9
ENSGACG00000018083,RASGEF1C
ENSGACG00000018089,tmem126a
ENSGACG00000018091,clk4a
ENSGACG00000018098,si:dkeyp-44a8.4
ENSGACG00000018103,gnb2l1
ENSGACG00000018115,nme5
ENSGACG00000018116,HNRNPAB (1 of 2)
ENSGACG00000018119,PHYKPL
ENSGACG00000018122,ctbp1
ENSGACG00000018129,spon2a
ENSGACG00000018131,KDM3B
ENSGACG00000018133,reep2
ENSGACG00000018137,egr1
ENSGACG00000018139,adra1bb
ENSGACG00000018141,CCNJL
ENSGACG00000018143,c1qtnf2
ENSGACG00000018144,slu7
ENSGACG00000018147,nsd1a
ENSGACG00000018148,C5orf24 (2 of 2)
ENSGACG00000018149,atp5o
ENSGACG00000018152,ppp2ca
ENSGACG00000018159,sfxn1
ENSGACG00000018161,atp7a
ENSGACG00000018164,FBXL21
ENSGACG00000018167,gabrb2
ENSGACG00000018169,gabra6a
ENSGACG00000018171,nudcd2
ENSGACG00000018175,ccng1
ENSGACG00000018181,sept8b
ENSGACG00000018186,gdf9
ENSGACG00000018187,uqcrq
ENSGACG00000018188,hspa4b
ENSGACG00000018200,gnpda1
ENSGACG00000018207,fgf1a
ENSGACG00000018209,nr3c1
ENSGACG00000018211,kctd16a
ENSGACG00000018214,kif3a
ENSGACG00000018218,atrx
ENSGACG00000018221,fgf16
ENSGACG00000018224,zdhhc15b
ENSGACG00000018229,uprt
ENSGACG00000018231,abcb7
ENSGACG00000018242,KIAA2022
ENSGACG00000018243,RLIM
ENSGACG00000018245,irg1l (1 of 2)
ENSGACG00000018246,wu:fj08f03 (1 of 2)
ENSGACG00000018249,sb:cb252 (1 of 2)
ENSGACG00000018250,irg1l (2 of 2)
ENSGACG00000018253,wu:fj08f03 (2 of 2)
ENSGACG00000018254,sb:cb252 (2 of 2)
ENSGACG00000018256,FRMPD3
ENSGACG00000018258,prps1b
ENSGACG00000018263,zgc:66447
ENSGACG00000018264,znf711
ENSGACG00000018268,kctd12b
ENSGACG00000018271,rhogd
ENSGACG00000018273,ogt.1
ENSGACG00000018279,acrc
ENSGACG00000018281,cetn2
ENSGACG00000018285,nsdhl
ENSGACG00000018287,znf185
ENSGACG00000018289,fut11
ENSGACG00000018291,rab9b
ENSGACG00000018292,plp1a
ENSGACG00000018296,nlgn3a
ENSGACG00000018298,VMA21
ENSGACG00000018300,gria3b
ENSGACG00000018311,eda
ENSGACG00000018314,cx31.7
ENSGACG00000018315,mtnr1c
ENSGACG00000018316,neurl1b
ENSGACG00000018318,dusp1
ENSGACG00000018319,ergic1
ENSGACG00000018320,flt4
ENSGACG00000018324,npy7r
ENSGACG00000018325,prelid1a
ENSGACG00000018331,mxd3
ENSGACG00000018332,fam193b
ENSGACG00000018334,ddx41
ENSGACG00000018337,unc5a
ENSGACG00000018344,pdlim7
ENSGACG00000018348,CLTB
ENSGACG00000018350,higd2a
ENSGACG00000018351,ankhd1
ENSGACG00000018352,hnrnph1
ENSGACG00000018354,RUFY1
ENSGACG00000018355,hbegfa
ENSGACG00000018357,rmnd5b
ENSGACG00000018359,N4BP3
ENSGACG00000018367,anxa6
ENSGACG00000018374,tnip1
ENSGACG00000018379,gpx3
ENSGACG00000018383,dctn4
ENSGACG00000018384,SYNPO
ENSGACG00000018387,TSPAN17
ENSGACG00000018390,mchr2
ENSGACG00000018391,ctnna1
ENSGACG00000018406,lrrtm2
ENSGACG00000018407,sncb
ENSGACG00000018408,CDHR2
ENSGACG00000018413,rnf44
ENSGACG00000018417,faf2
ENSGACG00000018418,pin4
ENSGACG00000018419,zgc:113355
ENSGACG00000018420,DRD1 (1 of 2)
ENSGACG00000018421,msxb
ENSGACG00000018422,cpeb4
ENSGACG00000018432,stc2a
ENSGACG00000018433,nkx2.5
ENSGACG00000018435,bnip1a
ENSGACG00000018438,atpv0e1
ENSGACG00000018439,rpl26
ENSGACG00000018440,ppp2r2ba
ENSGACG00000018442,GPR151
ENSGACG00000018444,adam19b
ENSGACG00000018445,thg1l
ENSGACG00000018447,lsm11
ENSGACG00000018449,clint1a
ENSGACG00000018450,EBF1 (1 of 2)
ENSGACG00000018453,il12ba
ENSGACG00000018455,adrb2a
ENSGACG00000018457,sh3tc2
ENSGACG00000018461,ablim3
ENSGACG00000018464,si:ch211-57f7.7
ENSGACG00000018467,afap1l1a
ENSGACG00000018471,gabrp
ENSGACG00000018474,foxi3b
ENSGACG00000018475,wnt8a
ENSGACG00000018477,wnt8a
ENSGACG00000018480,gria1a
ENSGACG00000018483,lonrf1
ENSGACG00000018484,med7
ENSGACG00000018485,itk
ENSGACG00000018487,cyfip2
ENSGACG00000018489,nxpe3 (4 of 8)
ENSGACG00000018490,hmmr
ENSGACG00000018493,si:ch211-166i24.1
ENSGACG00000018496,CYSTM1
ENSGACG00000018498,eif4ebp3l
ENSGACG00000018503,acsl4a
ENSGACG00000018508,nxt2
ENSGACG00000018509,psmd10
ENSGACG00000018511,xiap
ENSGACG00000018514,stag2b
ENSGACG00000018523,efnb1
ENSGACG00000018525,AR (1 of 2)
ENSGACG00000018527,msnb
ENSGACG00000018529,zc4h2
ENSGACG00000018532,asb12b
ENSGACG00000018533,arhgef9a
ENSGACG00000018534,tenm1
ENSGACG00000018539,sh2d1ab
ENSGACG00000018540,agtr2
ENSGACG00000018541,APOOL
ENSGACG00000018542,si:ch211-26b3.4
ENSGACG00000018543,HDX
ENSGACG00000018545,RPS6KA6
ENSGACG00000018547,POU3F4
ENSGACG00000018552,SH3BGRL
ENSGACG00000018558,FAM46D (1 of 2)
ENSGACG00000018559,ITM2A
ENSGACG00000018571,GPR174
ENSGACG00000018572,p2ry10
ENSGACG00000018574,LPAR4
ENSGACG00000018579,cysltr1
ENSGACG00000018585,polr1d
ENSGACG00000018587,sybl1
ENSGACG00000018595,mtus1a
ENSGACG00000018598,pdgfrl
ENSGACG00000018601,slc7a2
ENSGACG00000018602,mtmr7a
ENSGACG00000018605,cnot7
ENSGACG00000018608,zdhhc2
ENSGACG00000018610,MICU3 (1 of 2)
ENSGACG00000018613,fgf20b
ENSGACG00000018614,her11
ENSGACG00000018615,her5
ENSGACG00000018616,pfdn6
ENSGACG00000018620,mmgt1
ENSGACG00000018623,ddx26b
ENSGACG00000018626,mospd1
ENSGACG00000018631,fam122b
ENSGACG00000022898,snoU109
ENSGACG00000018634,hprt1
ENSGACG00000018642,phf6
ENSGACG00000018647,cab39l1
ENSGACG00000018655,gpc3
ENSGACG00000018656,gpc4
ENSGACG00000018659,brd8
ENSGACG00000018663,tmem173
ENSGACG00000018664,ppp3cb
ENSGACG00000018665,ube2d2l
ENSGACG00000018679,PSD2
ENSGACG00000018680,PURA (1 of 2)
ENSGACG00000018682,nrg2b
ENSGACG00000018683,B3GNT8
ENSGACG00000018684,eif1ad
ENSGACG00000018687,ctsf
ENSGACG00000018693,aup1
ENSGACG00000018695,fnta
ENSGACG00000018696,PIGG
ENSGACG00000018700,guf1
ENSGACG00000018709,GABRA2
ENSGACG00000018710,GABRA4
ENSGACG00000018712,ccdc37
ENSGACG00000018714,AP1AR
ENSGACG00000018718,smad5
ENSGACG00000018723,syvn1
ENSGACG00000018724,gpr137
ENSGACG00000018727,si:dkeyp-110e4.6
ENSGACG00000018728,SMIM19
ENSGACG00000018729,fam199x
ENSGACG00000018730,commd5
ENSGACG00000018731,LONRF3
ENSGACG00000018733,zgc:66433
ENSGACG00000018734,dcps
ENSGACG00000018736,ids
ENSGACG00000018740,aff2
ENSGACG00000018742,fmr1
ENSGACG00000018745,rab33a
ENSGACG00000018752,hdac3
ENSGACG00000018755,ssr1 (11 of 12)
ENSGACG00000018757,SLITRK4
ENSGACG00000018763,IRF2
ENSGACG00000018765,casp3b (1 of 3)
ENSGACG00000018769,casp3b (2 of 3)
ENSGACG00000018770,casp3b (3 of 3)
ENSGACG00000018774,acsl1b
ENSGACG00000018789,st3gal5
ENSGACG00000018791,polr1a
ENSGACG00000022662,SNORA5
ENSGACG00000022666,SNORA5
ENSGACG00000022609,SNORA5
ENSGACG00000022612,SNORA5
ENSGACG00000018795,ptcd3
ENSGACG00000018799,pls3 (1 of 2)
ENSGACG00000018803,rassf8b
ENSGACG00000018804,pkp2
ENSGACG00000018806,nudt4b
ENSGACG00000018807,UBE2N (2 of 2)
ENSGACG00000018811,MRPL42
ENSGACG00000018812,pwp1
ENSGACG00000018814,ano6
ENSGACG00000018815,asun
ENSGACG00000018816,si:dkey-14d8.1
ENSGACG00000018820,lmod2b
ENSGACG00000018821,waslb
ENSGACG00000018824,TMEM229A
ENSGACG00000018827,gpr37b
ENSGACG00000018828,si:dkey-61f9.2
ENSGACG00000018829,grm8a
ENSGACG00000018833,znf800b
ENSGACG00000018836,sypl1
ENSGACG00000018838,nampta
ENSGACG00000018841,gsap
ENSGACG00000018843,ccdc146
ENSGACG00000018844,fgl2
ENSGACG00000018846,lrrc17 (2 of 2)
ENSGACG00000018847,RAB19 (3 of 3)
ENSGACG00000018853,pus7l
ENSGACG00000018854,prickle1b
ENSGACG00000018856,pphln1 (1 of 2)
ENSGACG00000018857,pphln1 (2 of 2)
ENSGACG00000018860,zcrb1
ENSGACG00000018861,YAF2 (2 of 2)
ENSGACG00000018862,gxylt1b
ENSGACG00000018864,pdzrn4
ENSGACG00000022647,SNORA74
ENSGACG00000018865,cntn1b
ENSGACG00000018875,nrcama
ENSGACG00000018882,pnpla8
ENSGACG00000018884,avpr2l
ENSGACG00000018887,THAP5
ENSGACG00000018888,dnajb9b
ENSGACG00000018891,akr1b1
ENSGACG00000018894,si:dkey-180p18.9
ENSGACG00000018910,tfec
ENSGACG00000018911,foxp2
ENSGACG00000018917,gpr85
ENSGACG00000018918,tmem168a
ENSGACG00000018919,ifrd1
ENSGACG00000018923,dock4b
ENSGACG00000018926,LRRN3
ENSGACG00000018929,cald1l
ENSGACG00000018930,DNM1L (2 of 2)
ENSGACG00000018935,dhx57
ENSGACG00000018938,strip2
ENSGACG00000018942,ahcyl2
ENSGACG00000018945,tmem209
ENSGACG00000018950,prdm4
ENSGACG00000018951,cdkn1d
ENSGACG00000018953,SLC37A3
ENSGACG00000018956,DENND2A (2 of 2)
ENSGACG00000018957,CDPF1
ENSGACG00000018958,pparaa
ENSGACG00000018959,wnt7ba
ENSGACG00000018960,atxn10
ENSGACG00000018964,FBLN1 (2 of 2)
ENSGACG00000018967,trim24
ENSGACG00000018969,AKR1D1 (2 of 2)
ENSGACG00000018981,KDM5A
ENSGACG00000018983,SLC6A13 (2 of 2)
ENSGACG00000018996,USP15
ENSGACG00000018997,PPM1H (2 of 2)
ENSGACG00000018998,il17rel
ENSGACG00000019001,pim3
ENSGACG00000019005,creld2
ENSGACG00000019007,alg12
ENSGACG00000019008,zbed4
ENSGACG00000019009,brd1a
ENSGACG00000019011,fam19a5
ENSGACG00000019014,tbc1d22a
ENSGACG00000019016,cerk
ENSGACG00000019018,gramd4
ENSGACG00000019020,celsr1a
ENSGACG00000019024,trmu
ENSGACG00000019025,SRR
ENSGACG00000019026,alg10
ENSGACG00000019027,CPNE8 (2 of 2)
ENSGACG00000019033,KIF21A (2 of 2)
ENSGACG00000019034,ABCD2
ENSGACG00000019036,SLC2A13
ENSGACG00000019037,spg1
ENSGACG00000019053,spg-1c
ENSGACG00000019056,MUC19 (3 of 6)
ENSGACG00000019061,spg4
ENSGACG00000019063,MUC19 (5 of 6)
ENSGACG00000019064,MUC19 (6 of 6)
ENSGACG00000019066,slco1d1
ENSGACG00000019067,IAPP
ENSGACG00000019068,ryroxd1
ENSGACG00000019071,etnk1
ENSGACG00000019075,sox5
ENSGACG00000019077,bcat1
ENSGACG00000019082,lrmp
ENSGACG00000019084,casc1 (2 of 2)
ENSGACG00000019086,lyrm5b
ENSGACG00000019087,SLC5A8 (2 of 2)
ENSGACG00000019092,UTP20
ENSGACG00000019098,arl1
ENSGACG00000019104,KIAA1147 (2 of 2)
ENSGACG00000019105,FGD4 (2 of 2)
ENSGACG00000019107,mapk11
ENSGACG00000019108,mapk12b
ENSGACG00000019113,RPAP3
ENSGACG00000019114,xrcc6bp1
ENSGACG00000019115,LRIG3
ENSGACG00000019116,SLC16A7
ENSGACG00000019120,FAM19A2
ENSGACG00000019121,ETV6
ENSGACG00000019123,PARP12
ENSGACG00000019125,SYN3
ENSGACG00000019129,TIMP3
ENSGACG00000019134,RERG
ENSGACG00000019136,plxnc1
ENSGACG00000019139,ccdc41
ENSGACG00000019145,hcfc2
ENSGACG00000019147,elk3
ENSGACG00000019148,cdk16 (2 of 2)
ENSGACG00000019150,phyh
ENSGACG00000019153,ucmaa
ENSGACG00000019155,mcm10
ENSGACG00000019156,optn
ENSGACG00000019159,ccdc3
ENSGACG00000019160,camk1da
ENSGACG00000019163,cdc123
ENSGACG00000019169,nudt5
ENSGACG00000019171,fbxo18
ENSGACG00000019173,il-15ra
ENSGACG00000019174,rbm17
ENSGACG00000019176,pfkfb3
ENSGACG00000019183,ponzr10
ENSGACG00000019184,ntf3
ENSGACG00000019185,ano2
ENSGACG00000019186,pik3cg
ENSGACG00000019193,ptprz1b
ENSGACG00000019202,COA6
ENSGACG00000019204,slc13a4
ENSGACG00000019206,si:ch211-242e8.1
ENSGACG00000019208,ARNTL2
ENSGACG00000019212,trappc11
ENSGACG00000019214,SPDL1
ENSGACG00000019215,SIL1
ENSGACG00000019216,uvssa
ENSGACG00000019218,nkx1.2lb
ENSGACG00000019221,large
ENSGACG00000019223,IL17RA (1 of 2)
ENSGACG00000019225,IL17RA (2 of 2)
ENSGACG00000019226,CECR6
ENSGACG00000019227,mkrn1
ENSGACG00000019230,tmem178b
ENSGACG00000019233,caprin2
ENSGACG00000019236,ipo8
ENSGACG00000019240,tmtc1
ENSGACG00000019242,cog5
ENSGACG00000019247,gpr22
ENSGACG00000019248,ndufa5
ENSGACG00000019249,aebp2
ENSGACG00000019253,plekha5
ENSGACG00000019257,braf
ENSGACG00000019259,arhgef39
ENSGACG00000019264,lmo3
ENSGACG00000019267,mgst1.2
ENSGACG00000019269,dera
ENSGACG00000019270,msrb3
ENSGACG00000019271,lemd3
ENSGACG00000019274,tmbim4
ENSGACG00000019282,B2M (1 of 2)
ENSGACG00000019287,B2M (2 of 2)
ENSGACG00000019291,irak3
ENSGACG00000019292,cdnf
ENSGACG00000019293,hspa14
ENSGACG00000019302,prl2
ENSGACG00000019307,si:ch211-14a17.7 (4 of 5)
ENSGACG00000019309,rint1
ENSGACG00000019311,dennd5b (2 of 2)
ENSGACG00000019313,ttll12
ENSGACG00000019320,pnpla3
ENSGACG00000019321,sult4a1
ENSGACG00000019323,MPPED1
ENSGACG00000019325,SCUBE1
ENSGACG00000019330,samm50l
ENSGACG00000019333,aldh1l2
ENSGACG00000019334,C12orf45
ENSGACG00000019336,slc41a2b
ENSGACG00000019340,chst11
ENSGACG00000019341,nfyba
ENSGACG00000019343,podxl
ENSGACG00000019344,mkln1
ENSGACG00000019345,net1
ENSGACG00000019346,asb13a.2
ENSGACG00000019348,gdi2
ENSGACG00000019363,ankrd16
ENSGACG00000019364,glt8d2
ENSGACG00000019367,sbf1
ENSGACG00000019373,snx4 (2 of 2)
ENSGACG00000019383,ppp6r2a
ENSGACG00000019386,cbll1
ENSGACG00000019389,slc26a3
